SurveyID,kV,HVL_meas,HVL_meter,,,,
1742,100,3.657795189,3.538844109,3.550974846,,,
1742,120,4.294956624,4.368909359,4.364269257,,,
1806,60,2.221090374,2.11,2.12,,,
1806,80,2.972842282,2.87,2.86,2.86,2.86,2.86
1806,100,3.676439192,3.51,3.49,,,
1806,120,4.448689213,4.39,4.39,,,
1724,60,2.370365027,2.263082266,2.27495122,,,
1724,80,3.14308611,3.020761967,3.021204948,3.01694417,3.015538454,3.015437603
1724,100,3.934747571,3.77641654,3.776608944,,,
1724,120,4.681471881,4.665922165,4.681073666,,,
1686,60,2.345222892,2.240772009,2.239480495,,,
1686,80,3.125342151,3.05704689,3.055954933,3.056305885,3.051385403,3.037121058
1686,100,3.841073219,3.716999531,3.724927902,,,
1686,120,4.614887375,4.627936363,4.623465538,,,
1685,60,2.3206764,2.191668987,2.192811966,,,
1685,80,3.10629714,2.955261469,2.948545456,2.959914923,2.951546669,2.958040714
1685,100,3.889198279,3.679276466,3.674071789,,,
1685,120,4.659846826,4.562057495,4.573674202,,,
1692,60,2.316160616,2.174396515,2.145713329,,,
1692,80,3.137846641,2.947353363,2.950420618,2.949812412,2.958181143,2.955080986
1692,100,3.962263424,3.796537876,3.797129869,,,
1692,120,4.734836323,4.76486969,4.752177715,,,
1650,60,2.399450126,2.457425833,2.448489904,,,
1650,80,3.162553818,3.181109667,3.180512428,3.189197063,3.181194067,3.197446585
1650,100,3.985694821,3.856551886,3.862775803,,,
1650,120,4.877400029,4.768016815,4.765882969,,,
1654,60,2.268367001,2.241137981,2.274607182,,,
1654,80,2.99887504,2.877875566,2.873972893,2.88193059,2.884159088,2.898267269
1654,100,3.705799071,3.448674917,3.446712255,,,
1655,60,2.275004293,2.269495487,2.292565346,,,
1655,80,3.02825413,2.925350189,2.928667307,2.928565741,2.939012289,2.929878473
1655,100,3.742621226,3.467917681,3.471188784,,,
1796,60,2.544404024,2.49,2.48,,,
1796,80,3.377714039,3.25,3.25,3.25,3.26,3.25
1796,100,4.116920688,4.04,4.04,,,
1796,120,4.973879914,4.98,4.98,,,
1979,60,2.53986075,2.54,2.52,,,
1979,80,3.370119973,3.29,3.29,3.3,3.28,3.28
1979,100,3.970336141,4.16,4.16,,,
1979,120,4.973625227,5.09,5.08,,,
1680,60,2.186439168,2.150875568,2.115218878,,,
1680,80,2.899760377,2.801085234,2.793433666,2.795191288,2.791309357,2.792361021
1680,100,3.655952067,3.455360174,3.467588902,,,
1680,120,4.535217221,4.360404015,4.356571674,,,
1653,60,2.223333999,2.254883289,2.257142067,,,
1653,80,2.977034625,2.935158253,2.924696207,2.931398869,2.92300868,2.925846815
1653,100,3.775320019,3.528529882,3.547840834,,,
1653,120,4.601772744,4.540248394,4.533594608,,,
1643,60,2.182772111,2.218291521,2.185176611,,,
1643,80,2.918593816,2.912282705,2.921311617,2.912967205,2.921704054,2.918881178
1643,100,3.675854758,3.524096489,3.520738363,,,
1643,120,4.469345051,4.425009251,4.437355042,,,
1652,60,2.291674912,2.311620474,2.311113834,,,
1652,80,3.048428558,3.071511269,3.054737091,3.068783522,3.068811417,3.057360172
1652,100,3.8619325,3.703972816,3.691817999,,,
1652,120,4.593496591,4.55922699,4.552707195,,,
1644,60,2.193882977,2.268730402,2.25536871,,,
1644,80,3.043198767,3.054755449,3.053710938,3.045734644,3.049759388,3.045565605
1644,100,3.909306481,3.80383873,3.798740625,,,
1644,120,4.645902062,4.695379734,4.687054634,,,
1645,60,2.142637359,2.185366154,2.169151306,,,
1645,80,2.933212906,2.951722145,2.951156139,2.950615168,2.953262091,2.955262423
1645,100,3.666733163,3.763840437,3.583504677,,,
1645,120,4.336553987,4.426056862,4.420589447,,,
1646,60,2.382435774,2.41394043,2.421532154,,,
1646,80,3.248933285,3.292950392,3.293895721,3.303052425,3.30316329,3.30731535
1646,100,4.146584165,4.058488846,4.067861557,,,
1646,120,4.937085376,4.99893856,4.997767448,,,
1651,60,2.15309214,2.116486549,2.114877462,,,
1651,80,2.886774487,2.808692217,2.81225276,2.813455343,2.806716919,2.814444065
1651,100,3.595844824,3.434078693,3.430030346,,,
1651,120,4.390264599,4.340437412,4.347918987,,,
1829,60,2.340843792,2.253668308,2.264801264,,,
1829,80,3.163864114,3.086497784,3.079412699,3.081462383,3.081063509,3.086258411
1829,100,3.82826352,3.777405262,3.782510042,,,
1829,120,4.681902776,4.709777355,4.70524168,,,
1821,60,2.283126858,2.159654856,2.168890953,,,
1821,80,3.061989108,2.920960903,2.92274332,2.913072109,2.915473461,2.908834457
1821,100,3.753999672,3.596369267,3.601737738,,,
1821,120,4.520024572,4.497062683,4.498809814,,,
1807,60,2.367011055,2.32,2.31,,,
1807,80,3.170810881,3.07,3.06,3.07,3.07,3.07
1807,100,3.854070115,3.79,3.78,,,
1807,120,4.630057954,4.69,4.68,,,
